lexeme_id	Orthography	Lexical entry	Glossing label	Perfective, Gender 3	Imperfective, Gender 3	Infinitive, Gender 3	Imperative, Gender 3	Prohibitive, Gender 3
v221		χeʁéwšur	PV-seize	χeʁéwšur	χeʁébčura	χeʁéwšus	χeʁéwš	χeʁmébč
v222		χeʁípʼir	PV-harvest_honey	χeʁípʼir	χeʁwílera	χeʁípʼes	χeʁípʼe	χeʁméwlipʼ
v223		χéwir	PV-rest	χéwir	χówχara	χéwis	χéwi	χomówɨχ
v224		χíbgɨr	PV-rock	χíbgɨr	χíwilgara	χíbgasɨ	χíbga	χiméwlig
v225		χɨˁʁɨ́wχɨr	PV-stand	χɨˁʁɨ́wχɨr	χɨˁʁwɨ́rχara	χɨˁʁɨ́wχɨs	χɨˁʁɨ́wχa	χɨˁʁmáwrɨχ ~ χɨˁʁmówrɨχ
v226		χówqʼur	PV-catch	χówqʼur	χówurqʼara ~ χówɨrqʼara	χówqʼas	χówqʼa	χomówrɨqʼ
v227		χówʁur	ASIDE-shift	χówʁur	χábʁura	χówʁus	χówʁa	χamábʁ
v228		χúpkur	ask	χúpkur	χúwulkara	χúpkas	χúbka	χumówluk
v229		luwqúr	PV-be_whipping	luwqúr	luwqára	luwqás	luwqá	lumowlɨ́q
v230		wuruʔura (IPFV)	be_able.ipfv	NO FORM	wuruʔura	NO FORM	NO FORM	NO FORM
v231		čawáqur	PV-itch	čawáqur	čawáqʷara	čawáqʷas	čawáqʷa	čamáwruq
